Admission_rate,Midpoint_of_SAT_scores_at_the_institution__math,In_state_tuition_and_fees,Out_of_state_tuition_and_fees,Average_faculty_salary,Average_cost_of_attendance__academic_year_institutions,Percentage_of_undergraduates_who_receive_a_Pell_Grant,Median_family_income,Control_of_institution,Completion_rate_for_first_time_full_time_target
68,-1,68,61,43,65,82,-1,0,0
-1,-1,-1,-1,19,-1,-1,-1,1,0
-1,-1,-1,-1,25,-1,-1,83,1,0
-1,-1,2,27,94,15,5,-1,2,0
-1,-1,-1,-1,-1,-1,-1,41,0,0
-1,-1,-1,-1,36,-1,-1,-1,1,0
-1,-1,17,7,2,-1,7,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
74,-1,17,33,44,15,11,-1,2,0
88,-1,93,93,41,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
40,47,51,87,95,45,4,-1,2,1
-1,-1,4,21,-1,-1,-1,-1,2,0
-1,-1,-1,-1,24,-1,-1,-1,1,0
-1,-1,19,34,81,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,13,-1,2,0
-1,-1,-1,-1,6,-1,-1,-1,1,0
22,24,92,92,81,85,13,-1,1,0
-1,-1,71,65,33,66,32,-1,0,0
-1,-1,-1,-1,35,-1,-1,76,2,0
-1,-1,-1,-1,3,-1,-1,39,0,0
-1,-1,72,66,31,59,71,-1,1,0
-1,-1,-1,-1,14,-1,-1,-1,2,0
66,-1,98,98,82,98,38,-1,1,1
34,-1,72,66,42,-1,-1,56,0,0
88,-1,59,51,20,-1,-1,-1,0,0
-1,-1,-1,-1,46,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,45,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
40,-1,-1,-1,1,-1,-1,-1,1,0
-1,-1,61,53,40,-1,-1,76,0,0
-1,-1,-1,-1,-1,-1,-1,86,1,0
-1,-1,-1,-1,45,-1,-1,90,1,1
72,-1,-1,-1,-1,-1,16,-1,0,0
22,17,44,85,-1,-1,-1,-1,2,1
-1,-1,29,9,15,4,3,-1,2,0
41,25,90,89,73,81,31,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,47,0,0
-1,-1,-1,-1,71,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
8,-1,82,79,65,78,43,-1,0,0
41,32,98,98,98,97,18,-1,1,1
-1,-1,57,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,35,-1,0,0
-1,-1,-1,-1,8,-1,-1,77,0,1
67,28,32,24,50,-1,-1,55,2,1
20,4,89,88,60,-1,-1,-1,1,0
90,-1,37,16,-1,-1,21,-1,1,0
54,36,96,96,85,90,5,-1,1,1
69,35,78,74,-1,-1,-1,93,1,1
78,-1,40,81,78,-1,-1,-1,2,0
32,-1,68,61,16,-1,-1,-1,0,0
-1,-1,-1,-1,17,-1,-1,-1,1,0
-1,-1,38,18,4,-1,-1,33,0,0
-1,-1,-1,-1,54,-1,-1,-1,2,0
22,48,89,88,92,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,16,37,58,29,47,-1,2,0
-1,-1,13,28,76,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,38,0,0
11,-1,37,17,67,-1,-1,81,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
79,17,66,82,78,60,31,-1,2,1
-1,-1,-1,-1,3,-1,-1,8,1,0
-1,-1,-1,-1,34,-1,-1,-1,1,0
62,26,53,42,43,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,63,55,31,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,69,1,0
90,-1,49,35,-1,-1,-1,18,0,0
-1,-1,55,44,22,49,97,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
68,-1,-1,-1,-1,-1,-1,56,0,0
-1,-1,41,22,-1,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,60,-1,2,0
-1,-1,7,3,34,-1,-1,23,2,0
-1,-1,-1,-1,78,-1,-1,-1,1,0
63,18,80,77,44,-1,-1,-1,1,0
-1,-1,21,34,65,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,23,5,16,11,65,-1,2,0
-1,-1,-1,-1,16,-1,83,-1,0,0
-1,-1,-1,-1,4,-1,-1,-1,0,0
65,27,85,83,61,-1,-1,73,1,0
-1,-1,-1,-1,-1,-1,-1,11,2,0
87,-1,-1,-1,34,-1,-1,66,0,0
6,-1,95,95,-1,-1,-1,-1,0,0
-1,-1,25,9,47,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,34,-1,0,0
53,-1,52,40,4,-1,-1,-1,0,0
-1,-1,63,54,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
90,-1,83,81,37,-1,-1,-1,1,0
19,40,87,85,92,-1,-1,90,1,1
-1,-1,22,16,64,-1,-1,-1,2,0
-1,-1,70,63,36,49,60,-1,0,1
-1,-1,-1,-1,-1,-1,-1,57,0,0
90,-1,-1,-1,-1,-1,-1,38,0,0
-1,-1,-1,-1,18,-1,-1,84,2,0
-1,-1,-1,-1,-1,-1,15,-1,0,0
-1,-1,-1,-1,26,-1,-1,-1,2,0
90,-1,-1,-1,33,-1,88,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
90,-1,-1,-1,2,-1,-1,-1,0,0
-1,-1,7,22,68,14,43,-1,2,0
-1,-1,-1,-1,-1,-1,4,-1,2,0
-1,-1,-1,-1,68,-1,-1,-1,1,0
0,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
23,45,96,95,93,92,2,-1,1,1
8,-1,46,30,-1,-1,-1,84,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,78,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
65,-1,94,93,88,94,20,-1,1,1
-1,-1,-1,-1,89,-1,-1,38,2,0
64,35,34,58,67,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,9,12,21,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
40,1,66,59,34,-1,-1,57,1,0
-1,-1,12,9,35,-1,-1,43,2,0
-1,-1,21,38,85,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,20,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
32,14,47,69,76,-1,46,-1,2,0
0,57,96,96,98,-1,-1,81,1,1
-1,-1,59,-1,-1,-1,-1,-1,0,0
85,-1,57,47,8,-1,-1,57,0,0
-1,-1,-1,-1,86,-1,-1,-1,1,0
-1,-1,66,59,25,-1,-1,-1,0,0
-1,-1,41,23,60,-1,-1,-1,1,0
47,47,86,84,83,-1,-1,-1,2,1
87,25,78,74,54,-1,-1,-1,1,1
-1,-1,39,20,5,-1,-1,63,1,0
61,-1,37,73,79,-1,22,-1,2,0
-1,-1,-1,-1,-1,-1,-1,11,0,0
37,-1,74,69,17,-1,-1,86,0,0
53,-1,71,65,0,-1,-1,65,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,16,-1,0,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,69,63,50,-1,23,-1,0,0
-1,-1,-1,-1,-1,-1,-1,58,0,0
7,55,96,96,96,-1,-1,93,1,1
-1,-1,-1,-1,33,-1,-1,20,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
90,-1,74,68,38,74,28,-1,0,1
-1,-1,-1,-1,52,-1,-1,94,1,1
-1,-1,-1,-1,54,-1,-1,-1,1,0
-1,-1,-1,-1,25,-1,-1,52,2,0
-1,-1,-1,-1,-1,-1,25,-1,0,0
-1,-1,67,60,15,-1,69,-1,0,0
-1,-1,-1,-1,-1,-1,14,-1,2,0
11,52,91,90,84,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,85,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,26,36,65,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,23,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,0,0,20,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
34,1,41,60,80,-1,49,-1,2,0
64,31,23,57,71,-1,-1,-1,2,1
-1,-1,-1,-1,80,-1,-1,-1,1,0
-1,-1,-1,-1,28,-1,-1,-1,2,0
2,-1,-1,-1,-1,-1,73,-1,0,0
79,-1,69,63,5,52,73,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
69,-1,34,65,75,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,11,0,0
-1,-1,64,57,-1,-1,-1,59,1,0
-1,-1,69,63,-1,37,67,-1,2,0
-1,-1,25,27,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,66,-1,2,0
-1,-1,-1,-1,-1,-1,-1,21,0,0
