Admission_rate,Midpoint_of_SAT_scores_at_the_institution__math,In_state_tuition_and_fees,Out_of_state_tuition_and_fees,Average_faculty_salary,Average_cost_of_attendance__academic_year_institutions,Percentage_of_undergraduates_who_receive_a_Pell_Grant,Median_family_income,Control_of_institution,Completion_rate_for_first_time_full_time_target
-1,-1,-1,-1,47,-1,-1,-1,2,0
41,10,90,89,71,83,44,-1,1,0
-1,-1,10,5,84,-1,-1,50,2,0
-1,-1,-1,-1,-1,-1,34,-1,0,0
12,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,70,-1,0,0
39,-1,93,93,62,-1,-1,85,1,1
66,19,78,73,40,-1,-1,71,1,0
87,18,19,49,56,-1,-1,-1,2,0
-1,-1,44,27,-1,-1,-1,58,0,0
-1,-1,-1,-1,57,-1,-1,-1,1,0
43,8,55,44,27,-1,-1,-1,1,0
-1,-1,20,4,36,-1,-1,71,2,0
27,-1,83,80,57,69,86,-1,0,0
-1,-1,-1,-1,56,-1,-1,94,1,1
-1,-1,-1,-1,83,-1,-1,-1,2,0
-1,-1,19,32,67,15,22,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,5,6,72,-1,-1,-1,2,0
-1,-1,71,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,33,1,0
-1,-1,-1,-1,61,-1,-1,46,2,0
-1,-1,-1,-1,-1,-1,84,-1,0,0
-1,-1,-1,-1,14,-1,-1,-1,0,0
-1,-1,-1,-1,28,-1,60,-1,0,0
-1,-1,-1,-1,-1,-1,-1,16,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,32,24,78,10,28,-1,2,0
10,-1,76,72,44,-1,-1,-1,0,0
59,30,67,71,86,54,18,-1,2,1
-1,-1,-1,-1,-1,-1,67,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,77,-1,0,0
-1,-1,-1,-1,-1,-1,83,-1,0,0
26,24,61,52,-1,55,47,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,10,13,72,-1,22,-1,2,0
43,17,86,84,47,-1,26,-1,1,0
-1,-1,68,61,39,58,74,-1,0,0
40,-1,91,90,31,87,18,-1,0,1
-1,-1,88,87,-1,-1,-1,66,0,0
26,21,96,96,90,90,13,-1,1,0
-1,-1,-1,-1,36,-1,-1,69,1,0
-1,-1,-1,-1,16,-1,-1,58,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,29,25,31,-1,-1,-1,2,0
61,37,88,86,7,-1,-1,75,1,1
-1,-1,-1,-1,-1,-1,50,-1,1,0
-1,-1,-1,-1,0,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,85,-1,0,0
-1,-1,-1,-1,-1,-1,-1,11,0,0
-1,-1,55,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,20,-1,-1,-1,1,0
-1,-1,-1,-1,4,-1,-1,34,0,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,65,58,20,46,70,-1,0,0
-1,-1,-1,-1,55,-1,17,-1,1,0
16,-1,66,59,52,-1,-1,66,1,0
-1,-1,27,64,65,32,54,-1,2,0
38,-1,43,62,75,-1,-1,86,2,0
-1,-1,-1,-1,-1,-1,-1,14,0,0
63,31,25,39,80,-1,-1,85,2,1
-1,-1,-1,-1,-1,-1,-1,-1,2,0
75,-1,-1,-1,-1,-1,-1,-1,0,0
90,24,65,58,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
90,-1,61,52,-1,-1,-1,-1,0,0
-1,-1,66,58,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,71,-1,-1,59,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,0,11,72,-1,-1,-1,2,0
71,-1,-1,-1,-1,-1,-1,65,0,0
-1,-1,-1,-1,-1,-1,-1,41,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,31,-1,-1,-1,2,0
72,46,44,81,95,42,14,-1,2,1
-1,-1,-1,-1,3,-1,-1,53,0,0
-1,-1,-1,-1,-1,-1,94,-1,0,0
64,-1,98,98,90,-1,16,-1,1,1
-1,-1,-1,-1,41,-1,21,-1,0,0
-1,-1,-1,-1,-1,-1,-1,45,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,99,-1,0,0
-1,-1,50,-1,-1,-1,-1,-1,0,0
-1,-1,76,71,15,68,97,-1,0,0
-1,-1,-1,-1,23,-1,61,-1,0,0
-1,-1,59,49,29,-1,-1,-1,0,0
-1,-1,64,56,-1,-1,-1,-1,0,0
-1,-1,45,29,-1,-1,-1,-1,1,0
-1,-1,76,-1,-1,-1,-1,-1,0,0
-1,-1,6,20,45,-1,-1,-1,2,0
18,-1,-1,-1,-1,-1,7,-1,2,0
-1,-1,-1,-1,75,-1,-1,96,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,26,25,54,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,32,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,20,5,44,-1,-1,67,2,0
-1,-1,-1,-1,77,-1,-1,-1,1,0
-1,-1,72,-1,-1,-1,-1,-1,0,0
-1,-1,0,0,-1,-1,-1,13,2,0
-1,-1,20,46,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,13,0,0
-1,-1,12,25,29,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,83,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,0,-1,-1,-1,1,1
11,-1,79,75,54,-1,3,-1,0,0
-1,-1,13,36,61,-1,-1,-1,2,0
90,-1,-1,-1,-1,-1,94,-1,0,0
90,11,14,34,47,-1,-1,-1,2,0
-1,-1,7,29,49,-1,-1,24,2,0
-1,-1,-1,-1,-1,-1,-1,48,0,0
89,-1,26,15,48,-1,-1,65,2,0
85,32,22,35,85,-1,-1,-1,2,1
-1,-1,48,45,70,-1,-1,85,2,0
-1,-1,19,4,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,14,0,0
-1,-1,-1,-1,2,-1,-1,19,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,0,-1,-1,-1,1,0
-1,-1,-1,-1,33,-1,-1,-1,0,0
90,-1,44,28,7,55,94,-1,1,1
9,-1,65,57,20,-1,-1,74,0,0
-1,-1,-1,-1,-1,-1,90,-1,2,0
65,38,70,65,75,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
1,-1,-1,-1,77,-1,-1,-1,0,1
87,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,29,-1,-1,44,0,0
70,24,68,84,82,60,20,-1,2,1
15,18,71,65,60,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,13,0,0
-1,-1,-1,-1,45,-1,-1,-1,1,0
-1,-1,76,72,23,52,94,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,75,-1,-1,95,2,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,61,58,12,-1,-1,-1,1,0
-1,-1,0,15,68,-1,-1,7,2,0
-1,-1,-1,-1,-1,-1,-1,40,0,0
83,1,49,35,30,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,55,-1,0,0
-1,-1,-1,-1,-1,-1,-1,50,0,0
-1,-1,-1,-1,35,-1,-1,74,1,1
-1,-1,74,69,17,61,70,-1,0,0
73,-1,81,78,59,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,75,-1,0,0
28,16,78,74,21,-1,-1,80,1,0
-1,-1,14,2,18,-1,96,-1,1,0
86,-1,-1,-1,-1,-1,-1,-1,0,0
37,14,47,79,96,61,50,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,-1,41,0,0
-1,-1,2,20,95,10,9,-1,2,0
58,-1,78,73,64,67,66,-1,0,0
-1,-1,-1,-1,-1,-1,79,-1,1,0
72,17,78,74,42,-1,-1,-1,1,1
-1,-1,-1,-1,82,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,25,-1,98,-1,0,0
79,-1,-1,-1,-1,-1,-1,72,0,0
-1,-1,5,2,30,-1,-1,-1,2,0
11,17,49,35,32,-1,-1,-1,1,0
-1,-1,-1,-1,43,-1,-1,47,2,0
-1,-1,-1,-1,-1,-1,-1,53,0,0
-1,-1,4,2,42,-1,-1,30,2,0
-1,-1,30,13,33,11,47,-1,2,0
3,19,74,69,-1,55,21,-1,1,0
40,-1,84,82,46,72,34,-1,1,0
-1,-1,-1,-1,-1,-1,-1,7,0,0
0,-1,-1,-1,-1,-1,14,-1,2,0
68,39,91,90,89,84,8,-1,1,1
90,-1,-1,-1,-1,-1,67,-1,0,0
3,-1,-1,-1,-1,-1,42,-1,1,0
33,45,69,93,97,61,19,-1,2,1
20,48,54,85,97,51,12,-1,2,1
-1,-1,78,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
20,-1,-1,-1,-1,-1,-1,-1,2,0
51,-1,67,61,45,-1,-1,83,1,0
-1,-1,50,36,9,-1,-1,-1,0,0
-1,-1,4,9,61,-1,-1,-1,2,0
-1,-1,-1,-1,41,-1,-1,56,2,0
45,17,46,71,90,-1,85,-1,2,0
64,19,78,74,33,-1,-1,83,1,1
86,-1,-1,-1,-1,-1,-1,36,0,0
37,-1,38,57,63,-1,-1,54,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
36,-1,-1,-1,10,-1,-1,40,0,0
-1,-1,-1,-1,54,-1,-1,60,2,0
-1,-1,-1,-1,-1,-1,-1,69,1,0
-1,-1,11,13,26,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
65,-1,36,43,73,-1,-1,-1,2,0
-1,-1,-1,-1,7,-1,-1,-1,1,0
-1,-1,41,22,-1,-1,-1,10,0,0
-1,-1,50,37,-1,-1,-1,42,0,0
-1,-1,41,23,13,-1,-1,35,0,0
12,35,78,74,44,-1,-1,-1,1,1
4,52,50,95,98,56,12,-1,2,1
-1,-1,-1,-1,17,-1,-1,73,1,1
73,-1,46,69,70,32,27,-1,2,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,59,50,48,52,82,-1,0,0
-1,-1,-1,-1,45,-1,-1,-1,1,0
-1,-1,74,69,56,58,62,-1,1,0
27,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,21,4,49,-1,-1,72,2,0
-1,-1,77,72,5,70,82,-1,0,0
-1,-1,-1,-1,-1,-1,72,-1,0,0
-1,-1,-1,-1,93,-1,-1,-1,0,0
-1,-1,2,19,83,-1,-1,-1,2,0
-1,-1,-1,-1,65,-1,-1,-1,2,0
-1,-1,9,1,24,-1,-1,-1,2,0
45,5,89,88,80,-1,24,-1,1,0
-1,-1,-1,-1,14,-1,23,-1,1,0
-1,-1,-1,-1,31,-1,-1,81,1,0
90,-1,12,3,31,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
90,-1,63,55,49,-1,-1,75,0,0
-1,-1,-1,-1,-1,-1,84,-1,0,0
46,-1,73,68,19,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,59,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,7,-1,0,0
-1,-1,-1,-1,24,-1,-1,-1,2,0
16,50,90,89,74,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,57,-1,0,0
-1,-1,44,27,13,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,84,-1,1,0
-1,-1,-1,-1,-1,-1,2,-1,2,0
-1,-1,-1,-1,-1,-1,0,-1,0,0
-1,-1,-1,-1,65,-1,-1,-1,1,0
-1,-1,15,12,88,-1,1,-1,2,0
34,-1,95,95,66,92,31,-1,1,1
-1,-1,-1,-1,0,-1,-1,-1,1,1
-1,-1,69,62,19,64,64,-1,0,0
-1,-1,-1,-1,97,-1,-1,-1,1,0
-1,-1,1,15,88,28,31,-1,2,0
20,23,66,58,49,48,30,-1,1,0
-1,-1,26,45,-1,-1,-1,-1,2,0
-1,-1,11,13,18,-1,-1,33,2,0
21,38,53,93,96,46,19,-1,2,1
-1,-1,-1,-1,-1,-1,63,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
6,-1,45,29,-1,69,58,-1,1,0
-1,-1,-1,-1,61,-1,-1,95,1,1
76,-1,4,0,9,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,23,-1,0,0
33,-1,53,41,44,-1,-1,60,0,0
-1,-1,20,43,82,17,51,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,30,41,60,15,52,-1,2,0
-1,-1,56,46,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,73,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,52,39,-1,39,78,-1,0,0
85,-1,54,42,37,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,5,2,0
8,51,96,96,97,-1,-1,95,1,1
-1,-1,-1,-1,10,-1,-1,48,1,0
44,-1,54,44,30,-1,-1,59,0,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,56,-1,-1,-1,-1,-1,0,0
61,-1,61,53,17,-1,-1,86,1,1
3,-1,-1,-1,-1,-1,-1,59,2,0
36,23,93,92,58,87,70,-1,1,0
-1,-1,-1,-1,63,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,36,-1,1,0
-1,-1,-1,-1,2,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,78,-1,0,0
-1,-1,-1,-1,5,-1,-1,40,0,0
-1,-1,66,59,-1,48,86,-1,0,0
81,-1,61,53,-1,-1,-1,-1,0,0
-1,-1,37,25,84,28,64,-1,2,0
-1,-1,6,0,87,24,3,-1,2,0
-1,-1,-1,-1,22,-1,-1,32,2,0
-1,-1,-1,-1,-1,-1,-1,1,0,0
-1,-1,-1,-1,30,-1,-1,40,2,0
-1,-1,11,20,37,-1,-1,35,2,0
-1,-1,-1,-1,-1,-1,0,-1,1,0
-1,-1,-1,-1,44,-1,57,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,14,7,52,9,50,-1,2,0
-1,-1,-1,-1,38,-1,-1,25,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,27,25,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,29,-1,0,0
-1,-1,-1,-1,-1,-1,-1,10,0,0
-1,-1,9,3,29,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,30,-1,-1,75,1,0
66,19,54,44,48,-1,-1,76,1,0
35,-1,-1,-1,-1,-1,-1,29,0,0
-1,-1,57,47,-1,-1,-1,-1,0,0
56,25,20,10,83,13,58,-1,2,0
36,-1,-1,-1,-1,-1,-1,4,0,0
-1,-1,-1,-1,-1,-1,-1,49,0,0
31,-1,28,8,10,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
81,-1,83,80,58,65,75,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,49,-1,0,0
-1,-1,-1,-1,65,-1,-1,84,2,1
22,-1,48,34,47,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,76,-1,0,0
90,-1,40,21,28,-1,-1,-1,1,1
-1,-1,-1,-1,6,-1,90,-1,0,0
-1,-1,61,53,12,58,53,-1,0,0
-1,-1,-1,-1,25,-1,-1,64,2,0
-1,-1,33,12,-1,-1,-1,-1,0,0
-1,-1,43,25,27,27,73,-1,1,0
-1,-1,11,5,29,2,94,-1,2,0
30,29,76,71,56,-1,-1,92,1,1
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,4,18,48,-1,-1,-1,2,0
-1,-1,17,3,6,-1,-1,5,2,0
-1,-1,-1,-1,85,-1,-1,22,2,0
-1,-1,-1,-1,-1,-1,-1,51,1,0
-1,-1,-1,-1,-1,-1,47,-1,0,0
-1,-1,41,36,50,31,27,-1,2,0
54,18,73,67,87,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,79,75,-1,-1,-1,-1,1,1
-1,-1,-1,-1,22,-1,85,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,13,25,-1,-1,-1,47,2,0
33,-1,74,69,35,75,94,-1,0,1
41,-1,56,46,-1,-1,-1,20,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,2,13,93,-1,-1,-1,2,0
-1,-1,52,40,45,-1,-1,76,0,0
-1,-1,-1,-1,2,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,50,2,0
63,23,17,44,77,-1,-1,70,2,0
-1,-1,8,32,47,-1,31,-1,2,0
-1,-1,20,9,23,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,6,2,0
45,-1,20,17,59,-1,-1,55,2,0
-1,-1,-1,-1,-1,-1,77,-1,2,0
-1,-1,62,54,18,55,89,-1,0,0
-1,-1,-1,-1,42,-1,-1,-1,2,1
0,-1,-1,-1,-1,-1,51,-1,0,0
-1,-1,-1,-1,39,-1,-1,75,2,0
-1,-1,-1,-1,-1,-1,2,-1,1,0
-1,-1,-1,-1,-1,-1,99,-1,0,0
88,-1,32,11,2,-1,-1,0,0,0
-1,-1,17,13,-1,-1,-1,-1,2,0
-1,-1,13,2,-1,-1,-1,-1,2,0
90,-1,47,31,38,-1,-1,47,1,0
-1,-1,-1,-1,28,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,25,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,71,65,31,58,49,-1,0,0
-1,-1,-1,-1,63,-1,11,-1,2,0
-1,-1,22,5,10,-1,-1,40,2,0
-1,-1,-1,-1,4,-1,-1,-1,0,0
-1,-1,16,16,85,-1,-1,-1,2,0
54,-1,97,97,77,92,20,-1,1,1
-1,-1,-1,-1,19,-1,-1,-1,2,0
55,23,48,88,91,44,28,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
64,-1,-1,-1,-1,-1,99,-1,0,0
-1,-1,-1,-1,-1,-1,8,-1,2,0
-1,-1,-1,-1,-1,-1,87,-1,0,0
-1,-1,-1,-1,-1,-1,60,-1,0,0
66,-1,90,89,69,85,33,-1,1,0
5,56,96,96,97,-1,-1,92,1,1
-1,-1,13,14,76,-1,-1,59,2,0
-1,-1,-1,-1,-1,-1,-1,13,0,0
43,12,87,85,70,74,43,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,27,-1,2,0
-1,-1,-1,-1,-1,-1,-1,32,0,0
36,26,93,93,81,-1,11,-1,1,1
-1,-1,-1,-1,-1,-1,89,-1,0,0
-1,-1,-1,-1,27,-1,-1,88,2,1
-1,-1,25,50,-1,-1,-1,-1,2,0
51,12,38,53,56,22,47,-1,2,0
-1,-1,53,42,17,-1,-1,57,0,0
-1,-1,-1,-1,72,-1,-1,51,2,0
83,30,41,22,43,27,1,-1,1,0
71,34,73,68,-1,-1,-1,91,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,56,-1,0,0
-1,-1,0,8,91,-1,-1,8,2,0
82,-1,73,68,-1,-1,-1,-1,1,0
49,-1,-1,-1,-1,-1,-1,5,0,0
-1,-1,30,39,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,56,46,5,-1,-1,-1,0,0
-1,-1,-1,-1,59,-1,-1,-1,2,0
-1,-1,-1,-1,3,-1,-1,0,2,0
-1,-1,-1,-1,-1,-1,-1,8,2,0
-1,-1,74,-1,-1,-1,-1,-1,0,0
38,16,26,48,62,-1,-1,74,2,0
-1,-1,-1,-1,-1,-1,72,-1,0,0
-1,-1,-1,-1,53,-1,-1,87,2,0
88,25,32,40,85,-1,-1,55,2,0
85,-1,-1,-1,-1,-1,52,-1,0,0
-1,-1,-1,-1,33,-1,-1,86,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
41,14,51,81,92,47,26,-1,2,1
-1,-1,8,18,73,-1,-1,27,2,0
-1,-1,4,18,87,32,53,-1,2,0
-1,-1,-1,-1,-1,-1,31,-1,0,0
-1,-1,10,27,91,-1,2,-1,2,0
-1,-1,-1,-1,93,-1,-1,-1,1,0
78,-1,-1,-1,-1,-1,33,-1,2,0
-1,-1,16,37,75,-1,18,-1,2,0
90,3,22,53,46,4,47,-1,2,0
-1,-1,-1,-1,67,-1,-1,-1,2,0
78,-1,56,45,-1,-1,-1,-1,0,0
80,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,0,-1,-1,-1,0,0
-1,-1,24,49,51,22,25,-1,2,0
-1,-1,-1,-1,67,-1,-1,-1,2,0
83,-1,47,78,86,38,15,-1,2,0
-1,-1,1,0,-1,-1,-1,-1,2,0
-1,-1,-1,-1,1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,61,52,46,37,82,-1,0,0
-1,-1,60,52,6,-1,-1,-1,0,0
90,-1,-1,-1,69,-1,69,-1,0,0
-1,-1,-1,-1,19,-1,-1,80,1,0
-1,-1,-1,-1,49,-1,-1,-1,2,0
-1,-1,-1,-1,62,-1,-1,-1,1,0
-1,-1,18,41,-1,-1,-1,-1,2,0
25,-1,-1,-1,-1,-1,64,-1,0,0
-1,-1,-1,-1,-1,-1,-1,33,0,0
-1,-1,23,67,79,-1,-1,-1,2,0
-1,-1,-1,-1,23,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,68,-1,0,0
-1,-1,-1,-1,-1,-1,89,-1,0,0
-1,-1,-1,-1,-1,-1,26,-1,0,0
70,-1,48,33,46,39,56,-1,1,1
77,37,37,59,67,-1,-1,92,2,1
-1,-1,-1,-1,-1,-1,42,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,4,8,21,-1,49,-1,2,0
-1,-1,4,19,27,-1,-1,44,2,0
-1,-1,-1,-1,-1,-1,-1,71,1,0
-1,-1,32,86,78,-1,-1,-1,2,0
-1,-1,40,21,8,-1,-1,-1,0,0
-1,-1,48,33,-1,-1,-1,-1,0,0
-1,-1,12,6,33,2,25,-1,2,0
1,-1,-1,-1,-1,-1,-1,74,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
28,16,32,63,75,29,25,-1,2,0
-1,-1,57,47,2,-1,76,-1,0,0
-1,-1,-1,-1,-1,-1,34,-1,0,0
-1,-1,-1,-1,44,-1,-1,37,2,0
-1,-1,-1,-1,-1,-1,-1,2,2,0
-1,-1,-1,-1,-1,-1,92,-1,0,0
-1,-1,-1,-1,-1,-1,99,-1,0,0
-1,-1,-1,-1,25,-1,-1,-1,1,0
22,24,64,57,53,-1,-1,86,1,0
-1,-1,62,54,2,-1,-1,-1,0,0
11,8,46,72,87,48,54,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
46,14,91,90,57,-1,-1,84,1,0
6,-1,79,75,81,76,69,-1,0,0
-1,-1,30,42,74,15,27,-1,2,0
-1,-1,38,42,76,28,38,-1,2,0
-1,-1,62,54,-1,-1,-1,1,1,0
-1,-1,-1,-1,-1,-1,-1,81,0,0
22,-1,68,62,21,-1,-1,-1,0,0
-1,-1,15,16,64,16,29,-1,2,0
90,-1,-1,-1,-1,-1,93,-1,0,0
30,-1,90,89,9,81,78,-1,0,1
28,-1,-1,-1,-1,-1,1,-1,0,0
-1,-1,-1,-1,53,-1,-1,92,1,0
6,-1,-1,-1,-1,-1,-1,-1,0,0
76,-1,26,27,66,-1,-1,87,2,0
-1,-1,-1,-1,-1,-1,23,-1,0,0
-1,-1,27,42,71,13,49,-1,2,0
-1,-1,-1,-1,9,-1,-1,-1,2,0
21,26,65,87,87,62,40,-1,2,1
-1,-1,-1,-1,-1,-1,80,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,20,-1,-1,35,0,0
65,-1,65,57,-1,47,71,-1,0,0
-1,-1,-1,-1,-1,-1,69,-1,0,0
-1,-1,-1,-1,26,-1,-1,44,0,1
-1,-1,-1,-1,14,-1,-1,-1,2,0
-1,-1,-1,-1,11,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,47,0,0
-1,-1,-1,-1,-1,-1,78,-1,0,0
81,23,86,85,47,-1,-1,-1,1,0
75,-1,76,72,55,-1,-1,66,1,0
-1,-1,59,50,20,64,92,-1,0,0
90,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,13,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,44,-1,-1,82,1,0
-1,-1,63,55,31,-1,-1,23,0,1
-1,-1,-1,-1,1,-1,-1,-1,0,0
32,17,38,64,80,-1,-1,-1,2,0
71,14,39,69,67,-1,18,-1,2,0
-1,-1,11,7,40,21,55,-1,2,0
-1,-1,16,37,60,5,74,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,18,24,26,-1,-1,29,2,0
-1,-1,54,43,3,77,96,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
70,16,35,39,67,-1,-1,-1,2,1
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,40,52,80,31,44,-1,2,0
35,18,45,72,92,38,26,-1,2,1
-1,-1,-1,-1,79,-1,-1,94,2,1
-1,-1,-1,-1,30,-1,-1,89,1,1
-1,-1,-1,-1,67,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,81,-1,-1,28,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,29,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,15,-1,2,0
17,-1,60,51,13,-1,-1,-1,0,0
57,-1,96,95,-1,96,41,-1,0,0
-1,-1,-1,-1,-1,-1,63,-1,0,0
-1,-1,-1,-1,-1,-1,50,-1,0,0
30,40,98,98,95,97,16,-1,1,1
54,48,98,98,97,97,13,-1,1,1
-1,-1,9,5,39,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,35,0,0
-1,-1,-1,-1,3,-1,-1,40,0,0
-1,-1,-1,-1,3,-1,-1,68,0,1
-1,-1,-1,-1,73,-1,-1,-1,2,0
-1,-1,-1,-1,0,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,17,0,0
63,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
